time,Power,Oxygen,Cadence,HR,RF
5,0,275,0,71.2,12.8
6,0,238,0,71,12
7,0,218.314285714286,0,70.7714285714286,11.5428571428571
8,0,209.45,0,70.525,11.3
9,0,207.8,0,70.2666666666667,11.2
10,0,211.2,0,70,11.2
11,0,197.8,0,69.5,10.8
12,0,201.6,0,69.06,10.66
13,0,222.6,0,68.68,10.78
14,0,260.8,0,68.36,11.16
15,0,316.2,0,68.1,11.8
16,0,388.8,0,67.9,12.7
17,0,451.46,0,67.82,13.44
18,0,504.18,0,67.86,14.02
19,0,546.96,0,68.02,14.44
20,0,579.8,0,68.3,14.7
21,0,602.7,0,68.7,14.8
22,0,614.22,0,69.1,14.78
23,0,614.36,0,69.5,14.64
24,0,603.12,0,69.9,14.38
25,0,580.5,0,70.3,14
26,0,546.5,0,70.7,13.5
27,0,520.46,0,71.08,13.12
28,0,502.38,0,71.44,12.86
29,0,492.26,0,71.78,12.72
30,0,490.1,0,72.1,12.7
31,0,495.9,0,72.4,12.8
32,0,505.3,0,72.64,12.94
33,0,518.3,0,72.82,13.12
34,0,534.9,0,72.94,13.34
35,0,555.1,0,73,13.6
36,0,578.9,0,73,13.9
37,0,598.66,0,72.96,14.22
38,0,614.38,0,72.88,14.56
39,0,626.06,0,72.76,14.92
40,0,633.7,0,72.6,15.3
41,0,637.3,0,72.4,15.7
42,0,643.24,0,72.34,15.9
43,0,651.52,0,72.42,15.9
44,0,662.14,0,72.64,15.7
45,0,675.1,0,73,15.3
46,0,690.4,0,73.5,14.7
47,0,698.74,0,73.94,14.08
48,0,700.12,0,74.32,13.44
49,0,694.54,0,74.64,12.78
50,0,682,0,74.9,12.1
51,0,662.5,0,75.1,11.4
52,0,634.5,0,75.16,10.9
53,0,598,0,75.08,10.6
54,0,553,0,74.86,10.5
55,0,499.5,0,74.5,10.6
56,0,437.5,0,74,10.9
57,0,384.53,0,73.2,11.18
58,0,340.59,0,72.1,11.44
59,0,305.68,0,70.7,11.68
60,0,279.8,0,69,11.9
61,0,262.95,0,67,12.1
62,0,251.01,0,64.68,12.3
63,0,243.98,0,62.04,12.5
64,0,241.86,0,59.08,12.7
65,0,244.65,0,55.8,12.9
66,0,252.35,0,52.2,13.1
67,0,257.66,0,49.64,13.32
68,0,260.58,0,48.12,13.56
69,0,261.11,0,47.64,13.82
70,0,259.25,0,48.2,14.1
71,0,255,0,49.8,14.4
72,0,259.24,0,51.74,14.68
73,0,271.97,0,54.02,14.94
74,0,293.19,0,56.64,15.18
75,0,322.9,0,59.6,15.4
76,0,361.1,0,62.9,15.6
77,0,395.24,0,65.46,15.8
78,0,425.32,0,67.28,16
79,0,451.34,0,68.36,16.2
80,0,473.3,0,68.7,16.4
81,0,491.2,0,68.3,16.6
82,0,502.94,0,67.92,16.78
83,0,508.52,0,67.56,16.94
84,0,507.94,0,67.22,17.08
85,0,501.2,0,66.9,17.2
86,0,488.3,0,66.6,17.3
87,0,477.08,0,66.3,17.38
88,0,467.54,0,66,17.44
89,0,459.68,0,65.7,17.48
90,0,453.5,0,65.4,17.5
91,0,449,0,65.1,17.5
92,0,455.16,0,64.82,17.54
93,0,471.98,0,64.56,17.62
94,0,499.46,0,64.32,17.74
95,0,537.6,0,64.1,17.9
96,0,586.4,0,63.9,18.1
97,0,628.1,0,63.76,18.22
98,0,662.7,0,63.68,18.26
99,0,690.2,0,63.66,18.22
100,0,710.6,0,63.7,18.1
101,0,723.9,0,63.8,17.9
102,0,726.92,0,63.84,17.64
103,0,719.66,0,63.82,17.32
104,0,702.12,0,63.74,16.94
105,0,674.3,0,63.6,16.5
106,0,636.2,0,63.4,16
107,0,602.56,0,63.28,15.66
108,0,573.38,0,63.24,15.48
109,0,548.66,0,63.28,15.46
110,0,528.4,0,63.4,15.6
111,0,512.6,0,63.6,15.9
112,0,495.3,0,63.84,16.16
113,0,476.5,0,64.12,16.38
114,0,456.2,0,64.44,16.56
115,0,434.4,0,64.8,16.7
116,0,411.1,0,65.2,16.8
117,0,397.6,0,65.52,16.82
118,0,393.9,0,65.76,16.76
119,0,400,0,65.92,16.62
120,0,415.9,0,66,16.4
121,0,441.6,0,66,16.1
122,0,461.58,0,66.08,15.86
123,0,475.84,0,66.24,15.68
124,0,484.38,0,66.48,15.56
125,0,487.2,0,66.8,15.5
126,0,484.3,0,67.2,15.5
127,0,477.12,0,67.58,15.5
128,0,465.66,0,67.94,15.5
129,0,449.92,0,68.28,15.5
130,0,429.9,0,68.6,15.5
131,0,405.6,0,68.9,15.5
132,0,391.1,0,69.16,15.54
133,0,386.4,0,69.38,15.62
134,0,391.5,0,69.56,15.74
135,0,406.4,0,69.7,15.9
136,0,431.1,0,69.8,16.1
137,0,459.89,0,70.01,16.22
138,0,492.77,0,70.33,16.26
139,0,529.74,0,70.76,16.22
140,0,570.8,0,71.3,16.1
141,0,615.95,0,71.95,15.9
142,0,658.01,0,72.65,15.62
143,0,696.98,0,73.4,15.26
144,0,732.86,0,74.2,14.82
145,0,765.65,0,75.05,14.3
146,0,795.35,0,75.95,13.7
147,0,810.82,0,76.76,13.22
148,0,812.06,0,77.48,12.86
149,0,799.07,0,78.11,12.62
150,0,771.85,0,78.65,12.5
151,0,730.4,0,79.1,12.5
152,0,686.9,0,79.44,12.6
153,0,641.35,0,79.67,12.8
154,0,593.75,0,79.79,13.1
155,0,544.1,0,79.8,13.5
156,0,492.4,0,79.7,14
157,0,457.46,0,79.6,14.36
158,0,439.28,0,79.5,14.58
159,0,437.86,0,79.4,14.66
160,0,453.2,0,79.3,14.6
161,0,485.3,0,79.2,14.4
162,0,513.26,0,79.1,14.28
163,0,537.08,0,79,14.24
164,0,556.76,0,78.9,14.28
165,0,572.3,0,78.8,14.4
166,0,583.7,0,78.7,14.6
167,0,588.22,0,78.66,14.92
168,0,585.86,0,78.68,15.36
169,0,576.62,0,78.76,15.92
170,0,560.5,0,78.9,16.6
171,0,537.5,0,79.1,17.4
172,6.26,510.84,1.8,79.26,18.02
173,18.78,480.52,5.4,79.38,18.46
174,37.56,446.54,10.8,79.46,18.72
175,62.6,408.9,18,79.5,18.8
176,93.9,367.6,27,79.5,18.7
177,125.2,336.08,36,79.4,18.56
178,156.5,314.34,45,79.2,18.38
179,187.8,302.38,54,78.9,18.16
180,219.1,300.2,63,78.5,17.9
181,250.4,307.8,72,78,17.6
182,275.44,335.08,79.2,77.7,17.56
183,294.22,382.04,84.6,77.6,17.78
184,306.74,448.68,88.2,77.7,18.26
185,313,535,90,78,19
186,313,641,90,78.5,20
187,313,750.18,90,79.42,20.96
188,313,862.54,90,80.76,21.88
189,313,978.08,90,82.52,22.76
190,313,1096.8,90,84.7,23.6
191,313,1218.7,90,87.3,24.4
192,313,1324.6,90,90.08,25
193,313,1414.5,90,93.04,25.4
194,313,1488.4,90,96.18,25.6
195,313,1546.3,90,99.5,25.6
196,313,1588.2,90,103,25.4
197,313,1633.5,90,106.46,25.14
198,313,1682.2,90,109.88,24.82
199,313,1734.3,90,113.26,24.44
200,313,1789.8,90,116.6,24
201,313,1848.7,90,119.9,23.5
202,313,1905.42,90,123,23.02
203,313,1959.96,90,125.9,22.56
204,313,2012.32,90,128.6,22.12
205,313,2062.5,90,131.1,21.7
206,313,2110.5,90,133.4,21.3
207,313,2158.22,90,135.4,21
208,313,2205.66,90,137.1,20.8
209,313,2252.82,90,138.5,20.7
210,313,2299.7,90,139.6,20.7
211,313,2346.3,90,140.4,20.8
212,313,2404.5,90,141.1,20.92
213,313,2474.3,90,141.7,21.06
214,313,2555.7,90,142.2,21.22
215,313,2648.7,90,142.6,21.4
216,313,2753.3,90,142.9,21.6
217,313,2844.4,90,143.22,21.82
218,313,2922,90,143.56,22.06
219,313,2986.1,90,143.92,22.32
220,313,3036.7,90,144.3,22.6
221,313,3073.8,90,144.7,22.9
222,313,3114.74,90,145.12,23.22
223,313,3159.52,90,145.56,23.56
224,313,3208.14,90,146.02,23.92
225,313,3260.6,90,146.5,24.3
226,313,3316.9,90,147,24.7
227,313,3371.16,90,147.46,25.12
228,313,3423.38,90,147.88,25.56
229,313,3473.56,90,148.26,26.02
230,313,3521.7,90,148.6,26.5
231,313,3567.8,90,148.9,27
