time,Power,Oxygen,Cadence,HR,RF
2,0,329.533333333333,0,82.3333333333333,18.4
3,0,345.333333333333,0,82,18.6666666666667
4,0,361,0,81.5714285714286,18.8571428571429
5,0,387.3125,0,81.1875,19.3125
6,0,420.722222222222,0,80.8333333333333,19.9444444444444
7,0,383.85,0,80.75,21.85
8,0,384.55,0,80.625,23.55
9,0,403.85,0,80.5416666666667,24.5166666666667
10,0,441.75,0,80.5,24.75
11,0,498.25,0,80.5,24.25
12,0,541.233333333333,0,80.5833333333333,23.8
13,0,570.7,0,80.75,23.4
14,0,586.65,0,81,23.05
15,0,580.5,0,81.25,22.5
16,0,562.125,0,81.5,21.675
17,0,606.775,0,81.5,19.425
18,0,628.95,0,81.375,17.75
19,0,628.65,0,81.125,16.65
20,0,598.2,0,80.8,16.125
21,0,537.6,0,80.4,16.175
22,0,479.2,0,80.05,16.15
23,0,423,0,79.75,16.05
24,0,406.85,0,79.45,16.35
25,0,430.75,0,79.15,17.05
26,0,444.15,0,78.95,17.55
27,0,447.05,0,78.85,17.85
28,0,439.45,0,78.85,17.95
29,0,421.35,0,78.95,17.85
30,0,422.65,0,79.15,17.775
31,0,443.35,0,79.45,17.725
32,0,483.45,0,79.85,17.7
33,0,542.95,0,80.35,17.7
34,0,571.1,0,80.875,17.275
35,0,567.9,0,81.425,16.425
36,0,574.025,0,81.9,15.825
37,0,589.475,0,82.3,15.475
38,0,611.54,0,82.65,15.25
39,0,640.22,0,82.95,15.15
40,0,653.29,0,83.15,14.95
41,0,650.75,0,83.25,14.65
42,0,632.6,0,83.25,14.25
43,0,603.766666666667,0,83.2833333333333,14.1166666666667
44,0,577.15,0,83.475,14.225
45,0,552.75,0,83.825,14.575
46,0,524.9,0,84.24,14.86
47,0,493.6,0,84.72,15.08
48,0,461.56,0,85.24,15.36
49,0,428.78,0,85.8,15.7
50,0,395.26,0,86.4,16.1
51,0,367.485714285714,0,86.9,16.4714285714286
52,0,345.457142857143,0,87.3,16.8142857142857
53,0,324.247619047619,0,87.4666666666667,16.7619047619048
54,0,303.857142857143,0,87.4,16.3142857142857
55,0,284.285714285714,0,87.1,15.4714285714286
56,0,271.2,0,86.66,14.54
57,0,264.6,0,86.08,13.52
58,0,281.65,0,85.635,12.69
59,0,322.35,0,85.325,12.05
60,0,386.7,0,85.15,11.6
61,0,468.214285714286,0,85.25,11.4285714285714
62,0,535.076190476191,0,85.4166666666667,11.552380952381
63,0,587.285714285714,0,85.65,11.9714285714286
64,0,624.842857142857,0,85.95,12.6857142857143
65,0,651.514285714286,0,86.2833333333333,13.5619047619048
66,0,667.3,0,86.65,14.6
67,0,672.2,0,87.05,15.8
68,0,660.725,0,87.25,16.75
69,0,632.875,0,87.25,17.45
70,0,588.65,0,87.05,17.9
71,0,528.05,0,86.65,18.1
72,0,491.45,0,86.2833333333333,18.3
73,0,478.85,0,85.95,18.5
74,0,490.25,0,85.65,18.7
75,0,497.69,0,85.4566666666667,18.6666666666667
76,0,501.17,0,85.37,18.4
