time,Power,Oxygen,Cadence,HR,RF
4,0,398,0,69.5,14.5
5,0,417.333333333333,0,69.5833333333333,14.8611111111111
6,0,428,0,69.6428571428571,15.3571428571429
7,0,433.25,0,69.6875,15.9375
8,0,434.37037037037,0,69.7222222222222,16.3518518518519
9,0,432.6,0,69.75,16.65
10,0,445.6,0,69.85,17.15
11,0,453.225,0,69.95,17.575
12,0,455.475,0,70.05,17.925
13,0,452.35,0,70.15,18.2
14,0,443.85,0,70.25,18.4
15,0,437.533333333333,0,70.3666666666667,18.3166666666667
16,0,433.4,0,70.5,17.95
17,0,431.45,0,70.65,17.3
18,0,432.15,0,70.8166666666667,16.5666666666667
19,0,435.5,0,71,15.75
20,0,441.5,0,71.2,14.85
21,0,436.841666666667,0,71.3416666666667,14.2
22,0,421.525,0,71.425,13.8
23,0,395.55,0,71.45,13.65
24,0,388.725,0,71.475,13.55
25,0,402.591666666667,0,71.5083333333333,13.5666666666667
26,0,437.15,0,71.55,13.7
27,0,492.4,0,71.6,13.95
28,0,525.433333333333,0,71.6333333333333,14.4166666666667
29,0,536.25,0,71.65,15.1
30,0,524.85,0,71.65,16
31,0,541.983333333333,0,71.7083333333333,16.65
32,0,587.65,0,71.825,17.05
33,0,661.85,0,72,17.2
34,0,734.775,0,72.175,17.3
35,0,754.525,0,72.425,17.5
36,0,721.1,0,72.75,17.8
37,0,634.5,0,73.15,18.2
38,0,577.113333333333,0,73.67,18.42
39,0,548.94,0,74.31,18.46
40,0,549.98,0,75.07,18.32
41,0,538.6,0,75.925,18.15
42,0,514.8,0,76.875,17.95
43,0,465.8,0,77.9,17.7333333333333
44,0,391.6,0,79,17.5
45,0,344.1,0,80.1,17.1
46,0,338.633333333333,0,81.0666666666667,16.8
47,0,375.2,0,81.9,16.6
48,0,414.32,0,82.58,16.68
49,0,449.42,0,83.06,16.66
50,0,480.5,0,83.34,16.54
51,0,507.56,0,83.42,16.32
52,0,530.6,0,83.3,16
53,0,562.4,0,83,15.5666666666667
54,0,590.3,0,82.55,15.425
55,0,614.3,0,81.95,15.575
56,0,619.066666666667,0,81.3333333333333,15.75
57,0,604.6,0,80.7,15.95
58,0,572.5,0,80,15.7833333333333
59,0,529.34,0,79.28,15.63
60,0,475.12,0,78.54,15.49
61,0,432.24,0,77.9133333333333,15.73
62,0,400.7,0,77.4,16.35
63,0,380.5,0,77,17.35
64,0,369.7,0,76.65,18.1583333333333
65,0,368.3,0,76.35,18.775
66,0,376.3,0,76.1,19.2
67,0,414.4,0,75.9,19.4
68,0,481,0,75.8,19.7666666666667
69,0,547.48,0,75.82,20.14
70,0,613.84,0,75.96,20.52
71,0,657.68,0,76.0866666666667,20.54
72,0,679,0,76.2,20.2
73,0,677.8,0,76.3,19.5
74,0,673.575,0,76.325,18.7916666666667
75,0,666.325,0,76.275,18.075
76,0,656.05,0,76.15,17.35
77,0,622.05,0,75.95,16.65
78,0,575.11,0,75.77,15.89
79,0,543.85,0,75.59,15.23
80,0,528.27,0,75.41,14.67
81,0,528.37,0,75.23,14.21
82,0,544.15,0,75.05,13.85
83,0,554.75,0,74.775,13.725
84,0,555.275,0,74.5,13.65
85,0,545.725,0,74.225,13.625
86,0,526.1,0,73.95,13.65
87,0,515.05,0,73.725,13.65
88,0,501.79,0,73.455,13.71
89,0,486.32,0,73.14,13.83
90,0,468.64,0,72.78,14.01
91,0,460.466666666667,0,72.4,14.35
92,0,461.8,0,72,14.85
93,0,493.5,0,71.675,15.375
94,0,524.033333333333,0,71.425,15.8916666666667
95,0,553.4,0,71.25,16.4
96,0,581.6,0,71.15,16.9
97,0,603.025,0,71.075,17.375
98,0,617.675,0,71.025,17.825
99,0,625.55,0,71,18.25
100,0,626.65,0,71,18.65
101,0,606.75,0,71.1,18.85
102,0,565.85,0,71.3,18.85
103,0,503.95,0,71.6,18.65
104,0,461.75,0,71.9,18.55
105,0,439.25,0,72.2,18.55
106,0,436.45,0,72.5,18.65
107,0,432.725,0,72.8,18.65
108,0,428.075,0,73.1,18.55
109,0,422.5,0,73.4,18.35
110,0,416,0,73.7,18.05
111,0,415.033333333333,0,73.95,18.15
112,0,419.6,0,74.15,18.65
113,0,432.3,0,74.3,19.15
114,0,443.966666666667,0,74.5,19.3833333333333
115,0,454.6,0,74.75,19.35
116,0,464.2,0,75.05,19.05
117,0,472.116666666667,0,75.35,19.0083333333333
118,0,478.35,0,75.65,19.225
119,0,482.9,0,75.95,19.7
120,0,498.5,0,76.1,20.25
121,0,521.2,0,76.05,20.45
122,0,540.466666666667,0,76.05,20.3833333333333
123,0,553.7,0,76.1,20.45
124,0,560.9,0,76.2,20.65
125,0,560.433333333333,0,76.3166666666667,20.8833333333333
126,0,552.3,0,76.45,21.15
127,0,544.733333333333,0,76.65,21.2166666666667
128,0,542.166666666667,0,76.7833333333333,21.15
129,0,544.6,0,76.85,20.95
130,0,539.3,0,77,20.8
131,0,522.5,0,77.2666666666667,20.7333333333333
132,0,504.733333333333,0,77.4,20.6666666666667
133,0,486,0,77.4,20.6
134,0,469.733333333333,0,77.3666666666667,20.4333333333333
135,0,457.566666666667,0,77.3333333333333,20.2666666666667
136,0,449.5,0,77.3,20.1
137,0,448.233333333333,0,77.2,20
138,0,449.333333333333,0,77.1666666666667,19.9
139,0,452.8,0,77.2,19.8
140,0,458.233333333333,0,77.2666666666667,19.8
141,0,469.4,0,77.3333333333333,19.8666666666667
142,0,486.3,0,77.4,20
143,0,519.25,0,77.5,20.45
144,0,564.816666666667,0,77.5333333333333,21.3166666666667
145,0,606.65,0,77.5,21.95
146,0,644.75,0,77.4,22.35
147,0,676.416666666667,0,77.3,22.45
148,0,701.65,0,77.2,22.25
149,0,720.45,0,77.1,21.75
150,0,730.766666666667,0,77.0833333333333,21.175
151,0,732.6,0,77.15,20.525
152,0,725.95,0,77.3,19.8
153,0,700.5,0,77.5,18.75
154,0,664.283333333333,0,77.8333333333333,17.25
155,0,633.65,0,78.3,15.95
156,0,608.6,0,78.9,14.85
157,0,589.133333333333,0,79.6333333333333,13.95
158,0,575.25,0,80.5,13.25
159,0,566.95,0,81.5,12.75
160,0,565.4,0,82.3166666666667,12.6583333333333
161,0,570.6,0,82.95,12.975
162,0,582.55,0,83.4,13.7
163,0,600.05,0,83.7333333333333,14.3666666666667
164,0,615.066666666667,0,83.8666666666667,15.1
165,0,627.6,0,83.8,15.9
166,0,637.85,0,83.6,16.6
167,0,645.816666666667,0,83.2666666666667,17.2
168,0,651.5,0,82.8,17.7
169,0,654.9,0,82.2,18.1
170,0,657.3,0,81.7333333333333,17.8666666666667
171,0,657.533333333333,0,81.3333333333333,17.2
172,0,655.6,0,81,16.1
173,0,652.7,0,80.6666666666667,15.0333333333333
174,0,648.833333333333,0,80.3333333333333,14
175,0,644,0,80,13
176,0,638,0,79.6,12.2
177,0,616.8,0,79.1,11.8333333333333
178,0,580.4,0,78.5,11.9
